timestamp,value
7:00 PM,97.38236490049638
8:00 PM,52.88002542946778
9:00 PM,97.40639669468602
10:00 PM,31.788291517323774
11:00 PM,83.19745411315522
12:00 AM,94.01633350149727
1:00 AM,97.30711789658092
2:00 AM,99.13632448897172
3:00 AM,100
4:00 AM,100
5:00 AM,98.7950708323681
6:00 AM,96.72236920794029
7:00 AM,99.21067851528444
8:00 AM,99.80377241325779
9:00 AM,100
10:00 AM,100
11:00 AM,98.86606875821052
12:00 PM,67.52650138572861
1:00 PM,99.75019949346007
2:00 PM,100
3:00 PM,100
4:00 PM,98.5778834862109
5:00 PM,99.90610654532368
6:00 PM,95.05603614893293
